InterfaceUID,InterfaceParentInterfaceUID,InterfaceMachineUID,InterfaceIP,InterfaceMAC,InterfaceNetworkUID,InterfaceDNSName,InterfaceSwitchNumber,InterfaceSwitchPosition,InterfaceNote,InterfacePreffered
N'72a88a72-fa4e-4a9d-9f91-a93e788006bf',N'                                    ',N'63cd7860-3ce3-4324-a51a-8db1d57b8767',N'172.16.4.41',N'00:0f:20:7a:18:b2',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum41',N'swL041',N'35',NULL,NULL
N'72effed6-ed83-41a5-b477-32cdb6acb3dd',NULL,N'347c20c9-ac89-4487-a210-6711360fbec6',N'147.231.25.230',N'00:24:21:9b:4a:48',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'dpmpool3',N'sw253',N'4/5',NULL,NULL
N'73553a5c-7650-46fa-8d50-3b9b86656d6f',NULL,N'90b37c88-fa26-41c4-b2d5-c24a496bba95',N'172.16.7.9',N'e4:1f:13:ef:15:8a',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'ib09',N'swL112',N'42',NULL,NULL
N'73a45782-91d2-48b5-91f8-1df499aa2bd3',N'                                    ',N'aa029e9a-5e76-4540-8353-10b0c3ae6d82',N'192.168.0.209',N'00:0f:20:7a:18:ca',N'12001c79-93a2-43c4-9833-59ec442f436c',N'optima1500',N'swR081',N'20',NULL,NULL
N'74097d0b-0dc0-4338-b913-0bbeb5b74a76',NULL,N'04d2eea9-2ba5-46cf-a017-8f9147345809',N'147.231.25.225',N'00:30:48:92:89:70',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'se4',N'swR081',N'56',NULL,NULL
N'75b28ae9-c5ee-4d3e-95e5-ce6d8d04d5ec',NULL,N'd41f365e-2d81-4ea1-9a6e-bc567ead4461',N'172.16.1.3',N'00:30:48:C4:8B:44',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix03',N'swL051',N'3',NULL,NULL
N'75c8f90c-7469-49a0-a3f9-4e475a9ce1a3',NULL,N'0f1280f5-566d-445a-b107-9e67555f87e8',N'147.231.27.97',N'18:A9:05:4D:A1:AE',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'jonas.fzu.cz',N'sw253',N'4/23',NULL,NULL
N'76621f45-ea73-47fd-92ae-c00a58372cb6',N'                                    ',N'6650e8c1-fb92-4366-a98c-ac8703a76e1c',N'147.231.25.221',N'00:02:b3:ab:59:1d',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'storage',N'sw011',N'36',NULL,NULL
N'76ec51ff-969f-4d8c-9fda-20be5228bc37',N'                                    ',N'1e916158-7eec-4a81-a743-9e0a9e21ef43',N'147.231.25.7',N'00:30:6e:2c:7c:26',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias07',N'sw013',N'7',NULL,NULL
N'770dbdea-5d90-40ee-bbf8-f2da3388dbcc',NULL,N'f4d36415-e50d-466c-98c2-f1185c84dc53',N'147.231.25.227',N'00:1b:21:4d:e1:16',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'dpmpool1',N'swL012',N'2',NULL,NULL
N'77587676-97a6-4bbd-bde2-dcfaccd7d87e',N'                                    ',N'394e2e01-e211-4889-a72a-cd6255a897ef',N'147.231.25.131',N'00:18:71:E7:88:A6',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias131',N'swL082',N'10',NULL,NULL
N'77d35452-b289-4b67-9bea-a8f33220b359',N'                                    ',N'ce8b4d55-4bcc-4700-a1e1-a4a49142184e',N'147.231.25.100',N'00:16:35:3b:7e:f3',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias100',N'swL041',N'40',NULL,NULL
N'785a84c5-f1ac-4aab-8892-ad3d5bbed047',NULL,N'8bd7462b-1506-4dbf-b5fb-7f5a5f613ff5',N'172.16.6.38',N'E4:1F:13:22:62:B2',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis38',N'swL112',N'6',NULL,NULL
N'7862a5b3-3aad-4ca1-845e-0485d5483c78',NULL,N'bc8eb458-4d2d-42f1-b8fc-42e7e971117d',N'172.16.1.30',N'00:30:48:C6:49:3A',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'salix30',N'swL051',N'30',NULL,NULL
N'78ea607d-ef27-4735-8de2-e55ca3e65a2a',NULL,N'fe47c808-80aa-4446-b708-920a511229dd',N'172.16.6.65',N'E4:1F:13:22:7B:54',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis65',N'swL111',N'33',NULL,NULL
N'7935504d-856b-4240-b200-544e040142c9',N'                                    ',N'80be4e3e-07d7-4b75-a4bd-35861597fb2a',N'147.231.25.156',N'00:1A:4B:D1:E7:F6',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias156',N'swR052',N'6',NULL,NULL
N'79ef1996-84e3-4d9a-bc1b-43ba8279c6bb',N'                                    ',N'a4a871bf-10bb-4760-8c1a-737704bcc9f9',N'147.231.25.162',N'00:1B:78:E1:DB:6A',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias162',N'swR052',N'14',NULL,NULL
N'7ab37c7b-f7c0-4a6d-9959-6dfa46eacc4a',N'                                    ',N'257ecfe8-9a82-4dea-a687-14df5fec8173',N'147.231.25.104',N'00:16:35:38:E5:6E',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias104',N'swL083',N'9',NULL,NULL
N'7ac10011-6220-4343-8131-6590d6e78d48',N'                                    ',N'b712493d-adf4-4b5e-8096-c58dfba888c4',N'147.231.19.52',N'00:04:23:b3:ed:3a',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'sam',N'sw010',N'10',NULL,NULL
N'7c4500f3-0cfc-439e-8a0a-01d4a2ce2485',N'                                    ',N'5f069f3e-1cdf-42ce-b79b-f7e531f1e85a',N'147.231.25.130',N'00:18:71:E7:77:A6',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias130',N'swL082',N'12',NULL,NULL
N'7d235536-4555-4179-aee3-4398351ed7bf',NULL,N'c3cc9c34-3313-422b-9f6e-3fb0ce35ddb2',N'172.16.2.16',N'00:1F:C6:D9:47:A6',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis16',N'swL101',N'16',NULL,NULL
N'7de69ba2-58ff-48fd-8e7c-8614ff7dcab3',NULL,N'b2ec9d55-ff27-436e-9737-409ef94e77c4',N'172.16.1.8',N'00:30:48:C6:49:70',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix08',N'swL051',N'8',NULL,NULL
N'7df82579-7200-41f9-8639-af515e990bf2',NULL,N'87057084-7261-416d-9b91-ff0894cf59ae',N'172.16.2.34',N'00:1F:C6:D9:4E:78',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis34',N'swL101',N'34',NULL,NULL
N'7e360275-4b69-4077-a144-9765631d1c02',NULL,N'226d953b-b13a-4dba-8573-a5cce4b7c679',N'172.16.7.18',N'e4:1f:13:ef:2a:e4',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'ib18',N'swL112',N'33',NULL,NULL
